lon,lat
-73.85943624,40.57518839
-73.71746492,40.74794495
-73.70906495,40.73166944
-73.72310469,40.72759063
-73.71504225,40.74885771
-73.73080168,40.71351042
-73.81746147,40.76029347
-73.91866543,40.76470822
-73.73783946,40.73561312
-73.84073385,40.57736631
-73.90109298,40.74229596
-73.91888757,40.76325478
-73.73882132,40.72957207
-73.729925,40.68815071
-73.70931717,40.73234911
-73.82607228,40.75647596
-73.87214299,40.77084368
-73.75772789,40.74415208
-73.71807642,40.75068307
-73.73264327,40.70901920000001
-73.70201843,40.74710243
-73.72532898,40.73204961
-73.84233801,40.72814993
-73.82595811,40.75350237
-73.71505305,40.72884588
